split,model,accuracy,precision,recall,f1_score,train_size,test_size
60-40,Multinomial_NB_usulan,1.0,1.0,1.0,1.0,150,100
60-40,Linear_SVM_baseline,1.0,1.0,1.0,1.0,150,100
60-40,Logistic_Regression_baseline,1.0,1.0,1.0,1.0,150,100
70-30,Multinomial_NB_usulan,1.0,1.0,1.0,1.0,175,75
70-30,Linear_SVM_baseline,1.0,1.0,1.0,1.0,175,75
70-30,Logistic_Regression_baseline,1.0,1.0,1.0,1.0,175,75
80-20,Multinomial_NB_usulan,1.0,1.0,1.0,1.0,200,50
80-20,Linear_SVM_baseline,1.0,1.0,1.0,1.0,200,50
80-20,Logistic_Regression_baseline,1.0,1.0,1.0,1.0,200,50
